date,horizon_days,cross_section_size,spearman_ic,high_sentiment_return,low_sentiment_return,high_minus_low_return
2022-02-03,1,50,0.039711884753901555,-0.00877006846856353,-0.013166447612347976,0.004396379143784445
2022-02-04,1,50,0.13891956782713086,-0.0029089613002785675,-0.006929581541766039,0.0040206202414874714
2022-02-07,1,50,0.005426170468187274,0.0022030533857241076,0.005165539696950483,-0.0029624863112263753
2022-02-08,1,50,-0.04825930372148859,-0.0014681658786553364,0.013997414958843046,-0.015465580837498383
2022-02-09,1,50,-0.04825930372148859,0.007616578650316197,0.0069918182296763495,0.0006247604206398479
2022-02-10,1,50,-0.1757983193277311,-0.0270849049132882,-0.01861375096214113,-0.00847115395114707
2022-02-11,1,50,0.06333733493397359,-0.01703830865935101,-0.006539098301614321,-0.01049921035773669
2022-02-14,1,50,-0.00773109243697479,-0.0030139480482603287,-0.004131005461808457,0.0011170574135481283
2022-02-15,1,50,-0.28124849939975993,0.002046514337581862,0.014049366881231895,-0.012002852543650033
2022-02-16,1,50,-0.1185594237695078,-0.002623363488238728,0.0006035924384054203,-0.0032269559266441487
2022-02-17,1,50,0.24168067226890755,-0.011326247893701458,-0.018870708055050735,0.007544460161349277
2022-02-18,1,50,0.06669867947178872,-0.0019244849638373918,-0.0064587958325012075,0.004534310868663816
2022-02-22,1,50,0.5101080432172869,0.0025364484903074302,-0.016335159112359054,0.018871607602666485
2022-02-23,1,50,-0.12432172869147658,-0.015504348722857986,-0.01360983906973937,-0.0018945096531186156
2022-02-24,1,50,0.18674669867947177,0.01670165140335176,-0.003805440341768429,0.02050709174512019
2022-02-25,1,50,0.16139255702280914,0.028958610948064754,0.02258819617163952,0.0063704147764252345
2022-02-28,1,50,0.07956782713085234,-0.002599906210327618,-0.008668147774106105,0.006068241563778487
2022-03-01,1,50,0.31831932773109245,-0.007516697800355143,-0.027502655089364236,0.019985957289009093
2022-03-02,1,50,-0.22103241296518605,0.01923883234321968,0.027998245551823064,-0.008759413208603385
2022-03-03,1,50,0.15630252100840333,0.003775337430229542,-0.005335843683846509,0.00911118111407605
2022-03-04,1,50,0.2215126050420168,0.0235965791202693,-0.005608443217926551,0.02920502233819585
2022-03-07,1,50,0.21507803121248498,-0.006703505442588231,-0.0342042310721309,0.027500725629542668
2022-03-08,1,50,-0.3608643457382953,-0.012760952901429567,0.002996029731807104,-0.01575698263323667
2022-03-09,1,50,-0.028283313325330132,0.022446174587298407,0.01959250815361936,0.0028536664336790488
2022-03-10,1,50,0.09157262905162064,0.00042517690193325517,-0.003124772347964233,0.0035499492498974883
2022-03-11,1,50,0.08331332533013207,-0.007765563750340365,-0.010928745349441205,0.0031631815991008403
2022-03-14,1,50,0.012244897959183673,-0.012980455900900367,-0.01579358434163386,0.002813128440733493
2022-03-15,1,50,0.08955582232893158,0.01868600981006725,0.006135536110176953,0.012550473699890296
2022-03-16,1,50,-0.028763505402160862,0.018578878766824868,0.02473387915207844,-0.006155000385253573
2022-03-17,1,50,-0.11039615846338535,0.014058392241279893,0.017448791365180717,-0.003390399123900824
2022-03-18,1,50,-0.05853541416566627,0.004032694250175872,0.006636744408254247,-0.002604050158078375
2022-03-21,1,50,0.1185594237695078,0.014677193197509365,0.0062692583747597005,0.008407934822749664
2022-03-22,1,50,-0.16897959183673472,0.0015389420591188862,0.00832213623729473,-0.006783194178175843
2022-03-23,1,50,0.166578631452581,-0.006081270346227996,-0.006624562724901995,0.0005432923786739992
2022-03-24,1,50,0.11202881152460985,0.011731612382629052,0.005012162690761779,0.006719449691867273
2022-03-25,1,50,0.2113325330132053,0.012494181560099593,0.004917698536440807,0.007576483023658787
2022-03-28,1,50,0.022328931572629048,-0.0032551673845730433,0.0021595692616765416,-0.005414736646249585
2022-03-29,1,50,-0.1140456182472989,0.007767950751002084,0.01837841047296762,-0.010610459721965537
2022-03-30,1,50,-0.05334933973589436,-0.003966888315270733,-0.004288687716863049,0.00032179940159231604
2022-03-31,1,50,0.010708283313325332,-0.012008594195151656,-0.013056122261654035,0.001047528066502379
2022-04-01,1,50,0.16120048019207683,0.010978575117870948,0.0013924049217037382,0.00958617019616721
2022-04-04,1,50,-0.1793517406962785,-0.003536633623573815,0.0053893685502937275,-0.008926002173867542
2022-04-05,1,50,0.17810324129651858,-0.005925414471555557,-0.0177362632788036,0.011810848807248043
2022-04-06,1,50,0.0385594237695078,0.002598928082111052,-0.0012541251464578851,0.0038530532285689367
2022-04-07,1,50,-0.06304921968787515,0.0005193426749954599,-0.002101621873086956,0.002620964548082416
2022-04-08,1,50,-0.09387755102040815,0.0070462989903736116,0.00308056441422655,0.003965734576147062
2022-04-11,1,50,-0.2582953181272509,-0.02107537004313559,-0.004934699573990642,-0.016140670469144948
2022-04-12,1,50,0.04336134453781513,0.0029461598686213895,-0.0006040985343813588,0.003550258403002748
2022-04-13,1,50,-0.21575030012004803,0.0041438241499177075,0.011103831843637413,-0.006960007693719706
2022-04-14,1,50,0.0007202881152460984,0.0025472847482307603,-0.0023035344411028056,0.0048508191893335655
2022-04-18,1,50,0.19951980792316923,0.005065970212217563,-0.0025162705660222496,0.007582240778239813
2022-04-19,1,50,-0.3598079231692677,0.004440198238443027,0.02169746817986009,-0.01725726994141706
2022-04-20,1,50,0.1890516206482593,0.007299794570183649,-0.0009295150302225941,0.008229309600406243
2022-04-21,1,50,-0.06842737094837935,-0.009984452763249363,-0.00999285242701159,8.399663762226686e-06
2022-04-22,1,50,0.03884753901560624,-0.029647079951567835,-0.015413462328252192,-0.014233617623315643
2022-04-25,1,50,-0.1398799519807923,-0.012011499981528928,-0.002963943595505536,-0.009047556386023392
2022-04-26,1,50,0.3633613445378151,-0.008985645338483695,-0.03031971180094787,0.021334066462464177
2022-04-27,1,50,0.2753007275878175,0.0035738119378986412,-0.005391997424221462,0.008965809362120103
2022-04-28,1,50,0.16350540216086432,0.01910312149577085,0.009071592477952972,0.010031529017817876
2022-04-29,1,50,-0.008019400228007241,-0.03318634493917547,-0.03409484643835896,0.0009085014991834853
2022-05-02,1,50,-0.15361344537815122,0.002678716511912571,0.004359689398028744,-0.0016809728861161724
2022-05-03,1,50,0.17743097238895558,0.007870201939697308,0.006441048472691058,0.0014291534670062504
2022-05-04,1,50,-0.06036014405762304,0.026759040339303077,0.030583485432354653,-0.003824445093051576
2022-05-05,1,50,0.3209123649459784,-0.011269609520282909,-0.02814645081879913,0.016876841298516222
2022-05-06,1,50,0.49368547418967584,0.01413592352115004,-0.013344006918465889,0.027479930439615927
2022-05-09,1,50,0.014069627851140454,-0.0348993129119569,-0.03230072138603642,-0.002598591525920478
2022-05-10,1,50,0.15860744297719087,-0.0013814820748218493,-0.0017314994752318901,0.00035001740041004084
2022-05-11,1,50,0.3076590636254502,0.004077394370239185,-0.006757576302049128,0.010834970672288313
2022-05-12,1,50,0.02578631452581032,-0.0037901312209242754,0.003523304517623382,-0.007313435738547657
2022-05-13,1,50,-0.11750300120048018,0.019527678462803788,0.014547449342104146,0.004980229120699642
2022-05-16,1,50,0.4064825930372149,0.009211490471106398,-0.0037420692497861286,0.012953559720892526
2022-05-17,1,50,-0.09512605042016806,0.017421357634055466,0.0293783370508234,-0.011956979416767932
2022-05-18,1,50,0.13229291716686675,-0.02553128865851616,-0.032258190239650084,0.006726901581133923
2022-05-19,1,50,-0.2107563025210084,-0.004489193915406919,-0.0020556588571393085,-0.002433535058267611
2022-05-20,1,50,0.15879951980792315,0.005067135174531967,-0.00580017066906513,0.010867305843597097
2022-05-23,1,50,0.008211284513805522,0.02038669721500904,0.022654542219299866,-0.0022678450042908256
2022-05-24,1,50,0.23054021608643455,0.0022292026294211675,-0.009243843577741972,0.01147304620716314
2022-05-25,1,50,0.11106842737094838,0.011674336447157263,0.004238240164262741,0.007436096282894522
2022-05-26,1,50,-0.19241296518607443,0.014122117176994598,0.017636942836568914,-0.0035148256595743162
2022-05-27,1,50,-0.0025450180072028807,0.020256378495020468,0.019840825571086594,0.00041555292393387344
2022-05-31,1,50,-0.39476590636254505,-0.013454125047707887,-0.0005583841081323038,-0.012895740939575583
2022-06-01,1,50,0.3328211284513805,0.0006331049712241188,-0.011238542210643743,0.011871647181867862
2022-06-02,1,50,-0.1307563025210084,0.012179679013930734,0.02260499234172606,-0.010425313327795328
2022-06-03,1,50,0.1567827130852341,-0.0019709264374193403,-0.01007634956881499,0.00810542313139565
2022-06-06,1,50,0.045474189675870344,0.0021632130508182357,-0.0003311085233386857,0.0024943215741569215
2022-06-07,1,50,0.09887154861944776,0.01284529916067414,0.010600616587008949,0.0022446825736651913
2022-06-08,1,50,-0.09848739495798318,-0.01558834511171947,-0.011896214811880346,-0.003692130299839124
2022-06-09,1,50,-0.037406962785114045,-0.02781499982026233,-0.024884022208635215,-0.002930977611627115
2022-06-10,1,50,0.272797118847539,-0.021102149040141027,-0.03984973311513544,0.018747584074994415
2022-06-13,1,50,-0.10559423769507804,-0.03767372905237405,-0.03623026987989456,-0.0014434591724794901
2022-06-14,1,49,0.03204081632653061,-0.007898042995725907,-0.01114451037090024,0.003246467375174332
2022-06-15,1,50,0.0022569027611044415,0.0065534534027096416,0.011240781750714801,-0.0046873283480051596
2022-06-16,1,50,0.02348139255702281,-0.02961732845463595,-0.03729362248520379,0.007676294030567844
2022-06-17,1,50,-0.2791356542617046,-0.008105591856225969,0.005070992331528723,-0.013176584187754692
2022-06-21,1,50,0.16533013205282113,0.02137578931765033,0.008794554393264199,0.01258123492438613
2022-06-22,1,50,0.04364945978391356,-0.012194474518121234,-0.007341326684772919,-0.004853147833348314
2022-06-23,1,50,-0.002929171668667467,-0.0007813508361327326,0.008407594735003198,-0.00918894557113593
2022-06-24,1,50,-0.25704681872749097,0.025081944205705996,0.03700331438209496,-0.011921370176388967
2022-06-27,1,50,0.39294117647058824,0.0021888198604558483,-0.009570344126897478,0.011759163987353327
2022-06-28,1,50,0.23111644657863145,-0.008969068323917029,-0.015340345942001843,0.006371277618084814
2022-06-29,1,50,-0.123937575030012,-0.004006536703983599,-0.0026466921112098364,-0.0013598445927737622
2022-06-30,1,50,0.20192076830732295,0.002437341450370378,-0.00805478861942871,0.010492130069799089
2022-07-01,1,50,0.2586794717887155,0.01692522192732787,0.0054925720014253,0.011432649925902571
2022-07-05,1,50,-0.20144057623049216,-0.006538325944906576,-0.007627154153073934,0.0010888282081673584
2022-07-06,1,50,0.013253619538502985,0.0024444122344801423,0.002011151904540731,0.0004332603299394113
2022-07-07,1,50,-0.10021608643457382,0.008915487910413555,0.012334999709827021,-0.003419511799413466
2022-07-08,1,50,-0.07457382953181273,-0.0045230622659979906,-0.004762726202387768,0.00023966393638977755
2022-07-11,1,50,0.24292917166866745,-0.0022295661114685172,-0.011014719861399869,0.008785153749931352
2022-07-12,1,50,-0.1512124849939976,-0.003324886119377335,-0.001404990449830612,-0.0019198956695467228
2022-07-13,1,50,0.1320048019207683,-0.0023740767233688008,-0.004591923117481444,0.0022178463941126434
2022-07-14,1,50,0.10357743097238895,-0.0050782609945648205,-0.01604696487381104,0.01096870387924622
2022-07-15,1,50,-0.16148859543817526,0.011681933232637031,0.026128164851951175,-0.014446231619314144
2022-07-18,1,50,-0.0760144057623049,-0.010050677522736317,-0.001578733091315665,-0.008471944431420651
2022-07-19,1,50,-0.1773349339735894,0.01568668864010181,0.033704738490128935,-0.018018049850027126
2022-07-20,1,50,0.02665066026410564,0.005408878772340498,0.001131130913246181,0.004277747859094317
2022-07-21,1,50,-0.17128451380552218,0.009157407822778685,0.006109991394886116,0.0030474164278925684
2022-07-22,1,50,0.07975990396158462,-0.00785197837673014,-0.006918759008720998,-0.0009332193680091413
2022-07-25,1,50,0.29926288755054564,0.012103161261618579,0.004701207343979741,0.0074019539176388375
2022-07-26,1,50,-0.055078031212484994,-0.00966274678303819,-0.006140507236990967,-0.003522239546047223
2022-07-27,1,50,0.09051620648259305,0.014568293625206752,0.00030720509602154554,0.014261088529185206
2022-07-28,1,50,0.13066026410564224,0.016388673232263506,0.01457710830037987,0.0018115649318836361
2022-07-29,1,50,0.22295318127250902,0.026657209044521957,0.008723298521806677,0.017933910522715278
2022-08-01,1,50,-0.11385354141656662,-0.00702013205701304,-0.0021381311741776156,-0.004882000882835425
2022-08-02,1,50,0.13248499399759903,-0.010438989114808728,-0.006422750217165751,-0.0040162388976429765
2022-08-03,1,50,-0.24667466986794717,-0.013412786045407365,0.006916744783793105,-0.02032953082920047
2022-08-04,1,50,-0.1795438175270108,-0.01601424724788323,0.0034165720463066873,-0.019430819294189917
2022-08-05,1,50,0.2113325330132053,0.01030613298406422,0.0012477773443220874,0.009058355639742133
2022-08-08,1,50,-0.24043217286914764,-0.0008550201453121353,0.003085293145015988,-0.0039403132903281235
2022-08-09,1,50,0.32494597839135647,0.007932781086078899,0.0002925910168585566,0.007640190069220343
2022-08-10,1,50,-0.28230492196878754,0.007981011903206815,0.017082662874427036,-0.009101650971220222
2022-08-11,1,49,-0.01857142857142857,0.010647766996578623,0.005476844812634317,0.005170922183944306
2022-08-12,1,49,-0.22632653061224486,0.01209776211431568,0.015309405120708157,-0.003211643006392477
2022-08-15,1,49,-0.15193877551020407,-0.004880917327432977,0.0027726241491721083,-0.007653541476605085
2022-08-16,1,49,-0.2253061224489796,-0.0029082849970650916,0.006954996169883499,-0.009863281166948592
2022-08-17,1,49,0.33153061224489794,-0.0012578935489726772,-0.008210677438674393,0.006952783889701716
2022-08-18,1,49,0.25546570073875796,0.010058668195036324,-0.004382769334036486,0.01444143752907281
2022-08-19,1,49,0.2160204081632653,-0.0004975494205825215,-0.008510053806519468,0.008012504385936946
2022-08-22,1,49,0.2180612244897959,-0.011435642603157947,-0.01839339874774974,0.006957756144591792
2022-08-23,1,49,0.10836734693877549,0.007537111078413006,-0.007365028157897635,0.014902139236310641
2022-08-24,1,49,0.14265306122448979,0.0040497674947128194,0.0008251292135445695,0.00322463828116825
