date,ticker,signal_z,coverage_window,signal_observations,coverage_21d,signal_lookback
2021-11-11,NEE,0.33148897581862324,0.6190476190476191,13,0.6190476190476191,21
2021-11-11,NEM,0.7764592103539717,0.6190476190476191,13,0.6190476190476191,21
2021-11-11,NKE,0.841124563069987,0.9523809523809523,20,0.9523809523809523,21
2021-11-11,NUE,-0.6839674503589661,0.6190476190476191,13,0.6190476190476191,21
2021-11-11,NVDA,0.34301937075872413,1.0,21,1.0,21
2021-11-11,O,1.649410287805626,0.6666666666666666,14,0.6666666666666666,21
2021-11-11,OXY,1.2359602759270676,0.6666666666666666,14,0.6666666666666666,21
2021-11-11,PLD,0.23429089024055988,0.2857142857142857,6,0.2857142857142857,21
2021-11-11,PSA,0.8305175165785669,0.38095238095238093,8,0.38095238095238093,21
2021-11-11,QCOM,0.2506558368522677,0.8095238095238095,17,0.8095238095238095,21
2021-11-11,SBUX,-0.17671866381884055,0.9523809523809523,20,0.9523809523809523,21
2021-11-11,SHW,-2.5,0.2857142857142857,6,0.2857142857142857,21
2021-11-11,SLB,-0.03781084474302407,0.47619047619047616,10,0.47619047619047616,21
2021-11-11,SO,0.8963541946992498,0.3333333333333333,7,0.3333333333333333,21
2021-11-11,T,-0.19947589065588145,0.9047619047619048,19,0.9047619047619048,21
2021-11-11,TMUS,-0.8724415872296767,0.6666666666666666,14,0.6666666666666666,21
2021-11-11,TTWO,0.37576520635073707,0.6666666666666666,14,0.6666666666666666,21
2021-11-11,UPS,0.3299287883231919,0.7619047619047619,16,0.7619047619047619,21
2021-11-11,USB,-1.0061278085496654,0.38095238095238093,8,0.38095238095238093,21
2021-11-11,V,-0.5899692076657754,1.0,21,1.0,21
2021-11-11,WFC,-0.12603495106138063,0.8571428571428571,18,0.8571428571428571,21
2021-11-11,WMT,0.08435673051205443,0.9523809523809523,20,0.9523809523809523,21
2021-11-11,XOM,-0.12292640179354158,1.0,21,1.0,21
2021-11-12,ABBV,-0.16534311326550452,0.8571428571428571,18,0.8571428571428571,21
2021-11-12,ABT,1.4060691822514593,0.8095238095238095,17,0.8095238095238095,21
2021-11-12,ADBE,1.0299445887453407,0.8571428571428571,18,0.8571428571428571,21
2021-11-12,AEP,-1.1414365565632005,0.42857142857142855,9,0.42857142857142855,21
2021-11-12,AMD,0.0013152506620078607,0.9523809523809523,20,0.9523809523809523,21
2021-11-12,AMGN,0.38383844500287273,0.7142857142857143,15,0.7142857142857143,21
2021-11-12,AMT,1.6938189246852013,0.3333333333333333,7,0.3333333333333333,21
2021-11-12,BA,0.0,0.0,0,0.0,21
2021-11-12,CAT,-0.07626103764742508,0.8095238095238095,17,0.8095238095238095,21
2021-11-12,CCI,-1.0414489909676672,0.38095238095238093,8,0.38095238095238093,21
2021-11-12,CMCSA,0.07023530014123967,0.9047619047619048,19,0.9047619047619048,21
2021-11-12,COP,0.9255616589744639,0.8571428571428571,18,0.8571428571428571,21
2021-11-12,CVX,0.22272686454449667,1.0,21,1.0,21
2021-11-12,D,0.0846529411898086,0.5238095238095238,11,0.5238095238095238,21
2021-11-12,DD,-1.3674428250822233,0.3333333333333333,7,0.3333333333333333,21
2021-11-12,DIS,0.27398754279541193,1.0,21,1.0,21
2021-11-12,DOW,-2.5,0.3333333333333333,7,0.3333333333333333,21
2021-11-12,DUK,-0.1210290673194467,0.47619047619047616,10,0.47619047619047616,21
2021-11-12,EA,2.3142442914621895,0.6666666666666666,14,0.6666666666666666,21
2021-11-12,GE,0.10054959425018982,0.9047619047619048,19,0.9047619047619048,21
2021-11-12,GILD,-0.6151631670131097,0.8095238095238095,17,0.8095238095238095,21
2021-11-12,GS,-0.6466877407440291,0.9523809523809523,20,0.9523809523809523,21
2021-11-12,INTC,0.20650455020339592,0.9523809523809523,20,0.9523809523809523,21
2021-11-12,KO,-0.36714423857164014,0.6666666666666666,14,0.6666666666666666,21
2021-11-12,MMM,-1.2506783835054018,0.8095238095238095,17,0.8095238095238095,21
2021-11-12,MRK,0.3281402124545558,1.0,21,1.0,21
2021-11-12,MS,0.5022097219307956,0.8571428571428571,18,0.8571428571428571,21
2021-11-12,NEE,0.8838792055616538,0.6190476190476191,13,0.6190476190476191,21
2021-11-12,NEM,0.8139751164148876,0.6190476190476191,13,0.6190476190476191,21
2021-11-12,NKE,0.7978297121819284,0.9523809523809523,20,0.9523809523809523,21
2021-11-12,NUE,-1.0669183715062314,0.6190476190476191,13,0.6190476190476191,21
2021-11-12,NVDA,0.3432501654842631,1.0,21,1.0,21
2021-11-12,O,1.2591478075745575,0.6666666666666666,14,0.6666666666666666,21
2021-11-12,OXY,1.0508585217987203,0.6666666666666666,14,0.6666666666666666,21
2021-11-12,PLD,0.24008308814758378,0.2857142857142857,6,0.2857142857142857,21
2021-11-12,PSA,0.8711965176901196,0.38095238095238093,8,0.38095238095238093,21
2021-11-12,QCOM,-0.1023627011689087,0.8095238095238095,17,0.8095238095238095,21
2021-11-12,SBUX,-0.27869334237079546,1.0,21,1.0,21
2021-11-12,SHW,-2.5,0.23809523809523808,5,0.23809523809523808,21
2021-11-12,SLB,-0.04794004192411824,0.47619047619047616,10,0.47619047619047616,21
2021-11-12,SO,0.5791440825404323,0.38095238095238093,8,0.38095238095238093,21
2021-11-12,T,-0.2408677363688659,0.9047619047619048,19,0.9047619047619048,21
2021-11-12,TMUS,-0.931407245540359,0.6666666666666666,14,0.6666666666666666,21
2021-11-12,TTWO,1.2896837074366294,0.6666666666666666,14,0.6666666666666666,21
2021-11-12,UPS,-0.09932289122414284,0.7619047619047619,16,0.7619047619047619,21
2021-11-12,USB,-1.0729158026775063,0.38095238095238093,8,0.38095238095238093,21
2021-11-12,V,-0.5044286794883281,1.0,21,1.0,21
2021-11-12,WFC,-0.2901926204161625,0.8571428571428571,18,0.8571428571428571,21
2021-11-12,WMT,0.04820714497311322,0.9523809523809523,20,0.9523809523809523,21
