fund_id,fund_name,method,rebalance_date,equity_capital_weight,crypto_capital_weight,equity_risk_contribution,crypto_risk_contribution,risk_contribution_sum,ex_ante_annualized_volatility,active_holdings,effective_holdings,top_5_weight,hhi,mean_filled_cells
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-08-01,0.9120199257104091,0.08798007428931812,0.8181171280814581,0.18188287191854188,0.9999999999999999,0.18421125111437534,14,9.329565058981563,0.5999999999998216,0.1071861328666443,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-09-01,0.9371293386021616,0.06287066139781776,0.8751801090238442,0.12481989097615569,1.0,0.16723503000394144,12,10.131167518061831,0.5999999999999684,0.09870530698630749,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-10-02,0.9440597605156442,0.05594023948430123,0.9091717273625365,0.09082827263746336,0.9999999999999999,0.15711775676460465,16,10.564864559130207,0.5966763127275345,0.09465336677087782,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-11-01,0.9287663295633868,0.07123367043659201,0.8321651667012661,0.16783483329873397,1.0000000000000002,0.1562088377148801,14,10.448719379709734,0.5999999999999904,0.09570550836515815,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-12-01,0.8888672873026833,0.11113271269729941,0.8416253268279797,0.1583746731720202,1.0,0.14891683667286182,15,11.798241795062308,0.5243919819728229,0.08475839174770183,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-01-04,0.9999999999999999,0.0,1.0,0.0,1.0,0.23497216044649566,12,9.758287301414704,0.5898106250579028,0.10247699920200397,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-02-01,0.9999999999999994,0.0,1.0,0.0,1.0,0.23630189553578101,11,9.523229396684064,0.5894721235362304,0.10500639629117771,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-03-01,0.9999999999999994,0.0,1.0,0.0,1.0,0.23310626222911324,12,9.534956220435646,0.5999999999999996,0.10487725133512052,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-04-01,0.9835108155866278,0.016489184413372118,0.9830117083603425,0.016988291639657635,1.0,0.1418919193574752,16,10.49816863260067,0.5638317230800034,0.09525470917800202,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-05-03,0.983324027528532,0.016675972471467987,0.9828844610223602,0.01711553897763961,0.9999999999999999,0.1156641167363266,17,12.044662283094462,0.5218040697634406,0.08302432866080196,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-06-01,0.9952354696751293,0.004764530324870692,0.9951509235473927,0.004849076452607267,0.9999999999999999,0.11055372791970737,16,11.80962902797691,0.525748621100464,0.08467666491733217,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-07-01,0.9934293421570362,0.006570657842963845,0.9933454586527198,0.006654541347280029,0.9999999999999999,0.0989178917684022,21,12.768848990074469,0.540066902175592,0.07831559452048684,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-08-02,0.9937649565647227,0.006235043435277037,0.9936745599391469,0.0063254400608531575,1.0,0.0979609431820743,22,12.626351818806707,0.5365468742426212,0.07919944053123242,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-09-01,0.9935509047178254,0.006449095282174556,0.9934883772976661,0.0065116227023338,0.9999999999999999,0.09710828366144071,22,12.176646291161896,0.5589823294493504,0.08212441883327301,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-10-01,1.0,0.0,1.0000000000000002,0.0,1.0,0.09115527687526975,26,12.549134435297411,0.5409194843252517,0.07968677084112377,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-11-01,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000002,0.08858198663615903,25,15.153570005329884,0.437589857515706,0.06599105027054848,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2021-12-01,1.0,0.0,0.9999999999999998,0.0,0.9999999999999998,0.08705965345783614,27,16.334483758889807,0.4364581895671401,0.061220177800584884,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2022-01-03,1.0,0.0,1.0,0.0,0.9999999999999999,0.09061411643053759,27,16.5922682412484,0.4197356049713835,0.0602690352795767,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2022-02-01,1.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.09037887874242392,29,17.974644112394067,0.4002555801597718,0.05563392486366222,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2022-03-01,1.0,0.0,1.0,0.0,1.0,0.09048120921629835,25,14.576257101243407,0.47441454403425437,0.06860471745621834,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2022-04-01,0.9997510469539458,0.00024895304605420667,0.9997503720927933,0.0002496279072067642,0.9999999999999999,0.08974612174078435,26,14.8925954032502,0.47323256677004233,0.06714746307965618,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2022-05-02,0.9999999999999999,0.0,0.9999999999999999,0.0,1.0,0.09832524562932522,19,13.240064428716465,0.5059715578487143,0.07552833336906528,0
combined_min_variance,Combined Minimum Variance,Minimum Variance,2022-06-01,0.9917158170492656,0.0082841829507344,0.9916151267543313,0.008384873245668719,1.0,0.1042155234191863,22,13.18983025142912,0.4885560494648973,0.07581598708532658,0
